Source,Material,Total_waste,Latitude,Longitude
Construction and Demolition,Soils,1289528,51.455265,0.39029393
Manufacturing,Blast Furnace Slag,1022490,51.567957,-3.7594051
Construction and Demolition,Soils,789775,52.494698,-1.4661456
Construction and Demolition,Soils,687231,51.473575,0.42751204
Construction and Demolition,Soils,679228,51.915688,-1.0011258
Construction and Demolition,Soils,662296,51.720973,-0.26273871
Construction and Demolition,Soils,646325,52.442304,-1.6610902
Manufacturing,Blast Furnace Slag,639841,53.598813,-0.62577976
Construction and Demolition,Mixed Hardcore,494531,51.504648,-0.01357019
Construction and Demolition,Mixed Hardcore,491259,51.494453,0.002121683
Construction and Demolition,Soils,478829,50.686055,-3.5169521
Construction and Demolition,Soils,439880,55.768681,-4.6052065
Construction and Demolition,Soils,427896,51.465111,-0.54005915
Construction and Demolition,Soils,427155,51.277266,0.46922682
Manufacturing,Basic Oxygen Furnace Slag,422287,53.567648,-0.60324862
Construction and Demolition,Mixed Hardcore,418087,51.500696,0.022956035
Construction and Demolition,Mixed Hardcore,410264,51.46272,-0.51153163
Construction and Demolition,Soils,407193,51.686122,-0.13508716
Construction and Demolition,Mixed Hardcore,389349,51.584562,0.50488229
Construction and Demolition,Soils,389227,53.490046,-2.4406559
Construction and Demolition,Soils,387582,51.528062,0.15026141
Construction and Demolition,Soils,387170,51.50552,0.012780173
Construction and Demolition,Soils,384726,51.54885,-2.6641552
Construction and Demolition,Mixed Hardcore,377531,51.49188,0.40286989
Construction and Demolition,Mixed Hardcore,373168,51.490307,-0.3235212
Construction and Demolition,Soils,359642,52.074842,-0.52292391
Construction and Demolition,Soils,357714,51.51863,0.27878317
Construction and Demolition,Mixed Hardcore,352441,51.025708,-0.26547204
Construction and Demolition,Mixed Hardcore,338924,51.49924,-3.0979421
Construction and Demolition,Soils,336892,54.848264,-1.4757622
Construction and Demolition,Mixed Hardcore,336391,51.620323,-0.043222209
Construction and Demolition,Mixed Hardcore,334398,51.518238,0.0968555
Construction and Demolition,Mixed Hardcore,332295,50.96531,-1.3485872
Construction and Demolition,Mixed Hardcore,326510,51.506577,0.17760957
Construction and Demolition,Mixed Hardcore,326327,51.616268,-0.035755276
Construction and Demolition,Soils,321890,52.324211,0.2729386
Mine and Quarry Wastes,China Clay - Stent and Sand,318175,50.376228,-4.809391
Mine and Quarry Wastes,China Clay - Stent and Sand,318175,50.365153,-4.910342
Mine and Quarry Wastes,China Clay - Stent and Sand,318175,50.38629,-4.922962
Mine and Quarry Wastes,China Clay - Stent and Sand,318175,50.42446,-3.989007
Mine and Quarry Wastes,China Clay - Stent and Sand,318175,50.444377,-4.018012
Mine and Quarry Wastes,China Clay - Stent and Sand,318175,50.361711,-4.887843
Mine and Quarry Wastes,China Clay - Stent and Sand,318175,50.358507,-4.813125
Mine and Quarry Wastes,China Clay - Stent and Sand,318175,50.394857,-4.818303
Mine and Quarry Wastes,China Clay - Stent and Sand,318175,50.370329,-4.877677
Mine and Quarry Wastes,China Clay - Stent and Sand,318175,50.358003,-4.879603
Mine and Quarry Wastes,China Clay - Stent and Sand,318175,50.380455,-4.831656
Mine and Quarry Wastes,China Clay - Stent and Sand,318175,50.387013,-4.830148
Mine and Quarry Wastes,China Clay - Stent and Sand,318175,50.388807,-4.919459
Construction and Demolition,Soils,315510,52.904122,-2.225052
Construction and Demolition,Soils,314626,51.493881,0.19537275
Construction and Demolition,Soils,309521,53.65128,-1.9303687
Construction and Demolition,Mixed Hardcore,309269,51.328551,-0.87469485
Construction and Demolition,Mixed Hardcore,308864,51.355018,-0.47300213
Construction and Demolition,Mixed Hardcore,301350,52.900179,-2.759757
Construction and Demolition,Soils,301311,52.850831,-1.3762859
Construction and Demolition,Soils,298464,51.485249,0.26010714
Construction and Demolition,Mixed Hardcore,297931,52.907529,-1.2765939
Construction and Demolition,Soils,297244,52.356049,-0.55943949
Construction and Demolition,Soils,291636,54.970509,-1.3667305
Construction and Demolition,Mixed Hardcore,289273,52.568705,0.081922144
Municipal Waste,Container Glass,288467,51.466595,0.34270916
Construction and Demolition,Mixed Hardcore,285560,51.554941,-0.38751465
Construction and Demolition,Soils,284779,51.49785,0.40644023
Construction and Demolition,Soils,281440,51.952053,-0.65313885
Construction and Demolition,Soils,279289,51.489215,-0.53040227
Construction and Demolition,Soils,273157,51.601337,-0.52532746
Construction and Demolition,Soils,272642,51.528616,0.12481189
Construction and Demolition,Soils,265932,54.160558,-1.3653263
Construction and Demolition,Soils,265608,51.195007,-0.83145263
Construction and Demolition,Mixed Hardcore,265600,55.99842,-3.8767061
Construction and Demolition,Soils,263543,51.295307,0.32158358
Construction and Demolition,Soils,262532,51.503749,0.42914454
Construction and Demolition,Soils,261382,53.767788,-1.4507745
Construction and Demolition,Soils,260722,51.503361,0.19813398
Construction and Demolition,Mixed Hardcore,259809,53.882824,-0.29751784
Construction and Demolition,Soils,257645,55.837665,-4.1165534
Construction and Demolition,Soils,257191,51.538717,0.51940976
Construction and Demolition,Soils,255505,52.635552,-1.9105162
Construction and Demolition,Mixed Hardcore,251186,53.799166,-2.7422423
Construction and Demolition,Soils,248847,53.179451,-1.205444
Construction and Demolition,Mixed Hardcore,248829,52.506983,-1.8311443
Construction and Demolition,Soils,248431,53.223933,-1.1387161
Construction and Demolition,Mixed Hardcore,247645,51.277133,0.469994
Construction and Demolition,Soils,247042,51.529983,0.23603809
Construction and Demolition,Soils,244534,52.070463,1.2505823
Construction and Demolition,Soils,242685,52.783617,-1.7002572
Municipal Waste,Container Glass,240830,53.700998,-1.2503385
Construction and Demolition,Mixed Hardcore,237161,54.933673,-2.9818054
Construction and Demolition,Soils,232726,51.88022,-0.743313
Construction and Demolition,Soils,232462,53.395053,-2.4981418
Construction and Demolition,Soils,232239,51.79226,-0.14606833
Construction and Demolition,Soils,231359,51.534531,-0.017359303
Construction and Demolition,Soils,230176,52.413514,-0.73754718
Construction and Demolition,Mixed Hardcore,224783,53.508406,-1.12892
Construction and Demolition,Soils,222326,51.876587,0.31933152
Construction and Demolition,Soils,217471,54.685575,-1.4896485
Construction and Demolition,Soils,217106,51.244812,-0.14476908
Construction and Demolition,Soils,216136,54.769366,-1.4602905
Municipal Waste,Municipal Waste Incinerator Bottom Ash,215709,53.367009,-2.7002766
Construction and Demolition,Soils,214826,53.428588,-1.1774791
